MD,ELECT_DENS,TEMP,Oxi,Nit,Hyd,Hel,O2,NO
-350.0,73028,763,963,24,7,6,0,0
-352.0,71941,763,962,24,8,6,0,0
-354.0,70866,763,962,24,8,7,0,0
-356.0,69804,763,961,24,8,7,0,0
-358.0,68754,763,961,24,9,7,0,0
-360.0,67718,763,960,24,9,7,0,0
-362.0,66695,763,960,24,9,7,0,0
-364.0,65685,763,959,24,10,7,0,0
-366.0,64688,763,959,24,10,7,0,0
-368.0,63705,763,958,24,10,8,0,0
-370.0,62735,763,958,24,11,8,0,0
-372.0,61780,763,957,24,11,8,0,0
-374.0,60837,763,956,24,12,8,0,0
-376.0,59909,763,956,24,12,8,0,0
-378.0,58994,763,955,24,12,9,0,0
-380.0,58093,763,954,24,13,9,0,0
-382.0,57205,763,954,24,13,9,0,0
-384.0,56331,763,953,24,14,9,0,0
-386.0,55470,763,952,24,14,9,0,0
-388.0,54623,763,952,24,15,10,0,0
-390.0,53789,763,951,24,16,10,0,0
-392.0,52968,763,950,24,16,10,0,0
-394.0,52161,763,949,24,17,10,0,0
-396.0,51366,763,948,24,17,10,0,0
-398.0,50584,763,947,24,18,11,0,0
-400.0,49816,763,946,24,19,11,0,0
-402.0,49059,763,946,24,19,11,0,0
-404.0,48316,763,945,24,20,11,0,0
-406.0,47584,763,944,24,21,12,0,0
-408.0,46865,763,942,24,22,12,0,0
-410.0,46158,763,941,24,22,12,0,0
-412.0,45463,763,940,24,23,12,0,0
-414.0,44780,763,939,24,24,13,0,0
-416.0,44108,763,938,24,25,13,0,0
-418.0,43448,763,937,24,26,13,0,0
-420.0,42799,763,936,24,27,14,0,0
-422.0,42162,763,934,24,28,14,0,0
-424.0,41535,763,933,24,29,14,0,0
-426.0,40919,763,932,24,30,14,0,0
-428.0,40314,763,930,24,31,15,0,0
-430.0,39719,763,929,24,32,15,0,0
-432.0,39135,763,927,24,34,15,0,0
-434.0,38560,763,926,24,35,16,0,0
-436.0,37996,763,924,24,36,16,0,0
-438.0,37442,763,922,24,37,16,0,0
-440.0,36897,763,921,24,39,17,0,0
-442.0,36362,763,919,24,40,17,0,0
-444.0,35836,763,917,24,42,17,0,0
-446.0,35319,763,915,24,43,18,0,0
-448.0,34811,763,913,24,45,18,0,0
-450.0,34312,763,911,24,46,19,0,0
-452.0,33822,763,909,24,48,19,0,0
-454.0,33341,763,907,24,50,19,0,0
-456.0,32868,763,905,24,52,20,0,0
-458.0,32403,763,903,24,53,20,0,0
-460.0,31946,763,900,24,55,21,0,0
-462.0,31497,763,898,24,57,21,0,0
-464.0,31056,763,896,24,59,21,0,0
-466.0,30623,763,893,24,62,22,0,0
-468.0,30197,763,890,23,64,22,0,0
-470.0,29779,763,888,23,66,23,0,0
-472.0,29368,763,885,23,68,23,0,0
-474.0,28964,763,882,23,71,24,0,0
-476.0,28567,763,879,23,73,24,0,0
-478.0,28177,763,876,23,76,25,0,0
-480.0,27794,763,873,23,78,25,0,0
-482.0,27418,763,870,23,81,26,0,0
-484.0,27047,763,867,23,84,26,0,0
-486.0,26684,763,864,23,87,27,0,0
-488.0,26326,763,860,23,90,27,0,0
-490.0,25975,763,857,23,93,28,0,0
-492.0,25629,763,853,23,96,28,0,0
-494.0,25290,763,850,23,99,29,0,0
-496.0,24956,763,846,23,102,29,0,0
-498.0,24628,763,842,23,106,30,0,0
-500.0,24306,763,838,23,109,30,0,0
-502.0,23989,763,834,23,113,31,0,0
-504.0,23678,763,830,23,116,31,0,0
-506.0,23371,763,826,22,120,32,0,0
-508.0,23070,763,822,22,124,32,0,0
-510.0,22774,763,817,22,127,33,0,0
-512.0,22483,763,813,22,131,34,0,0
-514.0,22197,763,808,22,135,34,0,0
-516.0,21915,763,804,22,140,35,0,0
-518.0,21639,763,799,22,144,35,0,0
-520.0,21367,763,794,22,148,36,0,0
-522.0,21099,763,789,22,152,36,0,0
-524.0,20836,763,784,22,157,37,0,0
-526.0,20577,763,779,22,161,38,0,0
-528.0,20322,763,774,22,166,38,0,0
-530.0,20072,763,769,22,170,39,0,0
-532.0,19826,763,764,22,175,39,0,0
-534.0,19583,763,759,22,180,40,0,0
-536.0,19345,763,754,22,184,40,0,0
-538.0,19111,763,748,22,189,41,0,0
-540.0,18880,763,743,22,194,42,0,0
-542.0,18653,763,738,22,199,42,0,0
-544.0,18430,763,732,22,203,43,0,0
-546.0,18210,763,727,22,208,43,0,0
-548.0,17994,763,721,22,213,44,0,0
-550.0,17781,763,716,22,218,45,0,0
-552.0,17572,763,711,22,223,45,0,0
-554.0,17366,763,705,22,228,46,0,0
-556.0,17163,763,700,22,232,46,0,0
-558.0,16964,763,694,22,237,47,0,0
-560.0,16767,763,689,22,242,47,0,0
-562.0,16574,763,683,22,247,48,0,0
-564.0,16384,763,678,22,252,49,0,0
-566.0,16196,763,672,22,257,49,0,0
-568.0,16012,763,667,22,261,50,0,0
-570.0,15830,763,662,22,266,50,0,0
-572.0,15652,763,656,22,271,51,0,0
-574.0,15476,763,651,22,276,51,0,0
-576.0,15302,763,645,22,281,52,0,0
-578.0,15132,763,640,22,285,53,0,0
-580.0,14964,763,635,22,290,53,0,0
-582.0,14798,763,629,22,295,54,0,0
-584.0,14635,763,624,22,299,54,0,0
-586.0,14475,763,619,22,304,55,0,0
-588.0,14317,763,613,23,309,55,0,0
-590.0,14161,763,608,23,314,56,0,0
-592.0,14008,763,602,23,318,57,0,0
-594.0,13857,763,597,23,323,57,0,0
-596.0,13708,763,592,23,328,58,0,0
-598.0,13562,763,586,23,332,58,0,0
-600.0,13417,763,581,23,337,59,0,0
-602.0,13275,763,576,23,342,59,0,0
-604.0,13135,763,570,23,346,60,0,0
